order_id,order_placement_date,customer_id,product_id,order_qty
FDEC844720515,"Wednesday, December 31, 2025",789720,25891203,310
FDEC844720515,"Wednesday, December 31, 2025",789720,25891502,185
FDEC844720515,"Wednesday, December 31, 2025",789720,25891201,268
FDEC844720515,"Wednesday, December 31, 2025",789720,25891502,290
FDEC844321666,"Wednesday, December 31, 2025",789321,99999999,241
FDEC844321666,"Wednesday, December 31, 2025",789321,25891201,471
FDEC844321666,"Wednesday, December 31, 2025",789321,25891603,112
FDEC844321666,"Wednesday, December 31, 2025",789321,99999999,234
FDEC844702615,"Wednesday, December 31, 2025",789702,25891103,248
FDEC844702615,"Wednesday, December 31, 2025",789702,25891601,177
FDEC844702615,"Wednesday, December 31, 2025",789702,25891501,185
FDEC844702615,"Wednesday, December 31, 2025",789702,25891401,206
FDEC844702615,"Wednesday, December 31, 2025",789702,25891401,290
FDEC844121516,"Wednesday, December 31, 2025",789121,25891503,107
FDEC844121516,"Wednesday, December 31, 2025",789121,25891201,600
FDEC844121516,"Wednesday, December 31, 2025",789121,25891101,438
FDEC844121516,"Wednesday, December 31, 2025",789121,25891503,89
FDEC844221510,"Wednesday, December 31, 2025",789221,25891503,132
FDEC844221510,"Wednesday, December 31, 2025",789221,25891401,239
FDEC844221510,"Wednesday, December 31, 2025",789221,25891303,65
FDEC844221510,"Wednesday, December 31, 2025",789221,25891503,92
FDEC844422411,"Wednesday, December 31, 2025",789422,25891302,56
FDEC844422411,"Wednesday, December 31, 2025",789422,25891402,202
FDEC844422411,"Wednesday, December 31, 2025",789422,25891201,159
FDEC844422411,"Wednesday, December 31, 2025",789422,25891201,247
FDEC844501658,"Wednesday, December 31, 2025",ABC987,25891102,484
FDEC844501658,"Wednesday, December 31, 2025",789501,25891103,384
FDEC844501658,"Wednesday, December 31, 2025",789501,25891603,87
FDEC844501658,"Wednesday, December 31, 2025",ABC987,25891102,449
FDEC844103507,"Wednesday, December 31, 2025",789103,25891203,527
FDEC844103507,"Wednesday, December 31, 2025",789103,25891302,90
FDEC844103507,"Wednesday, December 31, 2025",789103,25891502,126
